"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\core.dart", "Dart", 12, 0, 2, 14
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\achievements\data.dart", "Dart", 93, 2, 9, 104
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\all.dart", "Dart", 10, 0, 1, 11
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\changelog\data.dart", "Dart", 237, 9, 9, 255
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\double\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\double\sizes.dart", "Dart", 60, 0, 13, 73
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\duration\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\duration\animations.dart", "Dart", 9, 0, 1, 10
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\function\actions.dart", "Dart", 38, 1, 12, 51
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\function\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\icon\all.dart", "Dart", 4, 0, 0, 4
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\icon\cs_icons.dart", "Dart", 49, 5, 17, 71
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\icon\cs_icons_raw.dart", "Dart", 43, 16, 14, 73
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\icon\keyrune.dart", "Dart", 475, 56, 6, 537
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\icon\mana_icons.dart", "Dart", 127, 16, 15, 158
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\key\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\key\widgets.dart", "Dart", 8, 0, 4, 12
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\string\all.dart", "Dart", 3, 0, 1, 4
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\string\flavor_texts.dart", "Dart", 67, 0, 7, 74
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\string\licenses.dart", "Dart", 774, 0, 167, 941
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\string\uris.dart", "Dart", 12, 0, 7, 19
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutor\tutor_data.dart", "Dart", 0, 0, 1, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\app.dart", "Dart", 49, 0, 8, 57
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\arena.dart", "Dart", 25, 0, 7, 32
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\commander.dart", "Dart", 57, 0, 11, 68
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\counters.dart", "Dart", 18, 0, 5, 23
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\gestures.dart", "Dart", 47, 0, 10, 57
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\highlights.dart", "Dart", 105, 0, 23, 128
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\history.dart", "Dart", 33, 0, 8, 41
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\playgroup.dart", "Dart", 25, 0, 6, 31
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\tutorial\tutorials.dart", "Dart", 26, 0, 11, 37
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\widgets\all.dart", "Dart", 1, 0, 1, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\data\widgets\const_widgets.dart", "Dart", 52, 0, 9, 61
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\all.dart", "Dart", 2, 0, 0, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\bloc.dart", "Dart", 40, 11, 22, 73
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\achievements.dart", "Dart", 191, 25, 42, 258
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\all.dart", "Dart", 10, 0, 2, 12
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\backups\backup_logic.dart", "Dart", 42, 8, 10, 60
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\backups\directories.dart", "Dart", 96, 3, 24, 123
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\backups\log.dart", "Dart", 7, 1, 2, 10
